essay_id,trial,model,response_time,문법의 정확성,단어 사용의 적절성,문장 표현의 적절성,문단 내 구조의 적절성,문단 간 구조의 적절성,구조의 일관성,분량의 적절성,주제의 명료성,설명의 구체성,사고의 창의성,프롬프트 독해,구성,내용
ESSAY_71375,1,gemini-2.5-flash,10.044278144836426,2,2,2,2.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,,
ESSAY_71375,1,gemini-2.5-flash-lite-preview-06-17,5.595316171646118,2,2,2,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,,
ESSAY_71375,1,gemini-2.0-flash,9.249180793762207,2,2,2,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,,
ESSAY_71375,1,gemini-2.0-flash-lite,9.981756448745728,2,2,2,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,,
ESSAY_71375,1,claude-sonnet-4-20250514,39.86510252952576,2,2,1,1.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,,
ESSAY_71375,1,claude-3-7-sonnet-20250219,38.72637605667114,2,2,2,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,,
ESSAY_71375,1,claude-3-5-haiku-20241022,19.410887718200684,3,2,3,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,,
ESSAY_71375,1,claude-3-5-sonnet-20241022,24.902968168258667,2,2,2,2.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,,
ESSAY_71375,1,claude-3-haiku-20240307,11.923086643218994,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,
ESSAY_71375,1,gpt-4.1,13.11594033241272,2,2,2,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,,
ESSAY_71375,1,gpt-4.1-mini,10.252935409545898,3,2,2,,,,,,,,,2.0,2.0
ESSAY_71375,1,gpt-4.1-nano,8.501056671142578,2,2,2,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,,
ESSAY_71375,1,gpt-4o,9.946991920471191,2,2,2,2.0,2.0,2.0,3.0,,,,,,
ESSAY_71375,1,gpt-4o-mini,8.918194770812988,3,2,2,2.0,2.0,2.0,3.0,,,,,,
ESSAY_71375,1,o4-mini,19.39602565765381,2,2,2,2.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,,
ESSAY_71375,1,o3-mini,49.25603246688843,3,3,2,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,,
ESSAY_71375,2,gemini-2.5-flash,10.103532075881958,2,2,2,2.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,,
ESSAY_71375,2,gemini-2.5-flash-lite-preview-06-17,4.787500381469727,2,2,2,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,,
ESSAY_71375,2,gemini-2.0-flash,8.72852635383606,2,2,2,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,,
ESSAY_71375,2,gemini-2.0-flash-lite,10.004972219467163,2,2,2,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,,
ESSAY_71375,2,claude-sonnet-4-20250514,48.593863010406494,2,2,1,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,,
ESSAY_71375,2,claude-3-7-sonnet-20250219,40.01082801818848,2,2,2,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,,
ESSAY_71375,2,claude-3-5-haiku-20241022,19.990580081939697,3,2,3,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,,
ESSAY_71375,2,claude-3-5-sonnet-20241022,26.035454034805298,2,2,2,2.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,,
ESSAY_71375,2,claude-3-haiku-20240307,8.662562370300293,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,
ESSAY_71375,2,gpt-4.1,10.439632892608643,2,2,2,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,,
ESSAY_71375,2,gpt-4.1-mini,19.423236846923828,3,2,2,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,,
ESSAY_71375,2,gpt-4.1-nano,6.863438367843628,2,2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,
ESSAY_71375,2,gpt-4o,6.046916484832764,2,2,2,2.0,2.0,2.0,3.0,,,,,,
ESSAY_71375,2,gpt-4o-mini,7.548682928085327,3,2,2,2.0,2.0,2.0,3.0,,,,,,
ESSAY_71375,2,o4-mini,39.779783487319946,3,2,2,,,,,,,,,,
ESSAY_71375,2,o3-mini,38.94862723350525,3,3,3,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,,
ESSAY_71375,3,gemini-2.5-flash,13.637978315353394,2,2,2,2.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,,
ESSAY_71375,3,gemini-2.5-flash-lite-preview-06-17,5.323538064956665,2,2,2,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,,
ESSAY_71375,3,gemini-2.0-flash,8.897858381271362,2,2,2,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,,
ESSAY_71375,3,gemini-2.0-flash-lite,10.013330221176147,2,2,2,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,,
ESSAY_71375,3,claude-sonnet-4-20250514,44.43505787849426,2,2,1,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,,
ESSAY_71375,3,claude-3-7-sonnet-20250219,34.40814518928528,2,2,2,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,,
ESSAY_71375,3,claude-3-5-haiku-20241022,18.093690872192383,3,2,3,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,,
ESSAY_71375,3,claude-3-5-sonnet-20241022,25.160911083221436,2,2,2,2.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,,
ESSAY_71375,3,claude-3-haiku-20240307,15.825465440750122,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,
ESSAY_71375,3,gpt-4.1,13.375255823135376,2,2,2,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,,
ESSAY_71375,3,gpt-4.1-mini,16.868420839309692,3,2,2,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,,
ESSAY_71375,3,gpt-4.1-nano,6.301626920700073,2,2,2,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,,
ESSAY_71375,3,gpt-4o,9.933447122573853,2,2,2,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,,
ESSAY_71375,3,gpt-4o-mini,7.641611814498901,3,2,2,2.0,2.0,2.0,3.0,,,,,,
ESSAY_71375,3,o4-mini,17.17597484588623,2,2,2,,,,,,,,,,
ESSAY_71375,3,o3-mini,44.482850551605225,3,3,3,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,,
ESSAY_71375,4,gemini-2.5-flash,14.087469816207886,2,2,2,2.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,,
ESSAY_71375,4,gemini-2.5-flash-lite-preview-06-17,5.275532960891724,2,2,2,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,,
ESSAY_71375,4,gemini-2.0-flash,8.397374629974365,2,2,2,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,,
ESSAY_71375,4,gemini-2.0-flash-lite,11.1074538230896,2,2,2,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,,
ESSAY_71375,4,claude-sonnet-4-20250514,44.796849966049194,2,2,1,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,,
ESSAY_71375,4,claude-3-7-sonnet-20250219,38.33746814727783,2,2,2,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,,
ESSAY_71375,4,claude-3-5-haiku-20241022,18.651912927627563,3,2,3,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,,
ESSAY_71375,4,claude-3-5-sonnet-20241022,25.88411259651184,2,2,2,2.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,,
ESSAY_71375,4,claude-3-haiku-20240307,9.35594630241394,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,
ESSAY_71375,4,gpt-4.1,13.221371412277222,2,2,2,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,,
ESSAY_71375,4,gpt-4.1-mini,15.44791293144226,3,2,2,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,,
ESSAY_71375,4,gpt-4.1-nano,6.860166311264038,2,2,2,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,,
ESSAY_71375,4,gpt-4o,5.238629579544067,2,2,2,2.0,2.0,2.0,3.0,,,,,,
ESSAY_71375,4,gpt-4o-mini,8.012356996536255,3,2,2,2.0,2.0,2.0,3.0,,,,,,
ESSAY_71375,4,o4-mini,18.546177625656128,3,2,2,2.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,,
